Carrier Code,Flight No,ArrDep,Dep Airport Code,Dep Airport Name,Arr Airport Code,Arr Airport Name,Local Dep Time,Local Arr Time,Specific Aircraft Code,Seats,Time series
SI,SI3350,D,JER,Jersey,SOU,,700,700,789,71,01/07/2025
BA,BA1339,D,JER,Jersey,LHR,,705,705,32Q,190,01/07/2025
U2,EZY882,D,JER,Jersey,LGW,,710,710,32Q,164,01/07/2025
SI,SI4470,D,JER,Jersey,BRS,,710,710,32N,71,01/07/2025
SI,SI4407,D,JER,Jersey,GCI,,735,735,32Q,71,01/07/2025
SI,SI6604,D,JER,Jersey,GCI,,800,800,32Q,71,01/07/2025
U2,EZY6624,D,JER,Jersey,BHX,,835,835,32Q,190,01/07/2025
U2,EZY874,D,JER,Jersey,LGW,,845,845,77X,190,01/07/2025
BA,BA2523,D,JER,Jersey,LGW,,915,915,77X,190,01/07/2025
SI,SI2206,D,JER,Jersey,EXT,,920,920,789,71,01/07/2025
SI,SI5590,D,JER,Jersey,NWI,,920,920,77X,71,01/07/2025
SI,SI5550,D,JER,Jersey,EMA,,1020,1020,77X,71,01/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,77X,164,01/07/2025
U2,EZY440,D,JER,Jersey,GLA,,1220,1220,77X,164,01/07/2025
U2,EZY086,D,JER,Jersey,BFS,,1225,1225,789,188,01/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1300,1300,789,164,01/07/2025
SI,SI5591,D,JER,Jersey,GCI,,1330,1330,77X,71,01/07/2025
SI,SI3370,D,JER,Jersey,SOU,,1340,1340,77X,71,01/07/2025
SI,SI6605,D,JER,Jersey,EXT,,1420,1420,77X,71,01/07/2025
U2,EZY640,D,JER,Jersey,LTN,,1605,1605,77X,164,01/07/2025
LS,LS212,D,JER,Jersey,LBA,,1615,1615,77X,157,01/07/2025
SI,SI2235,D,JER,Jersey,GCI,,1650,1650,77X,71,01/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1705,1705,77X,188,01/07/2025
SI,SI4494,D,JER,Jersey,BRS,,1800,1800,789,71,01/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,77X,71,01/07/2025
BA,BA2525,D,JER,Jersey,LGW,,1940,1940,77X,190,01/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,77X,190,02/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,77X,71,02/07/2025
U2,EZY882,D,JER,Jersey,LGW,,710,710,789,164,02/07/2025
SI,SI4407,D,JER,Jersey,GCI,,735,735,789,71,02/07/2025
U2,EZY874,D,JER,Jersey,LGW,,845,845,789,188,02/07/2025
SI,SI2206,D,JER,Jersey,EXT,,920,920,789,71,02/07/2025
U2,EZY730,D,JER,Jersey,MAN,,950,950,781,190,02/07/2025
SI,SI5550,D,JER,Jersey,EMA,,950,950,781,71,02/07/2025
BA,BA2521,D,JER,Jersey,LGW,,1000,1000,781,190,02/07/2025
SI,SI2262,D,JER,Jersey,BHX,,1000,1000,789,71,02/07/2025
SI,SI5580,D,JER,Jersey,DUB,,1000,1000,781,71,02/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,789,190,02/07/2025
SI,SI2207,D,JER,Jersey,GCI,,1200,1200,223,71,02/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1325,1325,223,164,02/07/2025
SI,SI5552,D,JER,Jersey,EMA,,1335,1335,359,71,02/07/2025
SI,SI3370,D,JER,Jersey,SOU,,1340,1340,359,71,02/07/2025
U2,EZY528,D,JER,Jersey,LPL,,1350,1350,359,164,02/07/2025
SI,SI4490,D,JER,Jersey,BRS,,1505,1505,339,71,02/07/2025
EI,EI3343,D,JER,Jersey,DUB,,1610,1610,339,71,02/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1705,1705,789,190,02/07/2025
SI,SI5553,D,JER,Jersey,GCI,,1715,1715,789,71,02/07/2025
SI,SI4433,D,JER,Jersey,GCI,,1730,1730,789,71,02/07/2025
SI,SI2270,D,JER,Jersey,BHX,,1800,1800,789,71,02/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,789,71,02/07/2025
U2,EZY640,D,JER,Jersey,LTN,,1925,1925,32Q,188,02/07/2025
BA,BA2525,D,JER,Jersey,LGW,,1955,1955,32Q,190,02/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,32N,164,03/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,32Q,71,03/07/2025
U2,EZY882,D,JER,Jersey,LGW,,710,710,32Q,164,03/07/2025
SI,SI2294,D,JER,Jersey,GCI,,740,740,32Q,71,03/07/2025
U2,EZY440,D,JER,Jersey,GLA,,800,800,77X,190,03/07/2025
SI,SI6606,D,JER,Jersey,NCL,,840,840,77X,71,03/07/2025
SI,SI4472,D,JER,Jersey,BRS,,910,910,789,71,03/07/2025
SI,SI2206,D,JER,Jersey,EXT,,920,920,77X,71,03/07/2025
SI,SI5550,D,JER,Jersey,EMA,,1005,1005,77X,71,03/07/2025
BA,BA2521,D,JER,Jersey,LGW,,1010,1010,77X,190,03/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,77X,190,03/07/2025
U2,EZY874,D,JER,Jersey,LGW,,1115,1115,789,164,03/07/2025
U2,EZY086,D,JER,Jersey,BFS,,1150,1150,789,190,03/07/2025
SI,SI4419,D,JER,Jersey,GCI,,1210,1210,77X,71,03/07/2025
U2,EZY638,D,JER,Jersey,LTN,,1230,1230,77X,164,03/07/2025
SI,SI6607,D,JER,Jersey,GCI,,1320,1320,77X,71,03/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1340,1340,77X,164,03/07/2025
SI,SI3370,D,JER,Jersey,SOU,,1340,1340,77X,71,03/07/2025
SI,SI2264,D,JER,Jersey,BHX,,1350,1350,77X,71,03/07/2025
SI,SI5504,D,JER,Jersey,CDG,,1425,1425,77X,71,03/07/2025
LS,LS212,D,JER,Jersey,LBA,,1500,1500,789,157,03/07/2025
U2,EZY728,D,JER,Jersey,MAN,,1555,1555,77X,190,03/07/2025
